input_text;end_label;;;
Wer kann Meinung erklären, S3. Versuch mal. […];advance;;;
Du bist dran.;advance;;;
Bitte was? Was hat S3 denn gesagt, wiederholst du es bitte nochmal? ;advance;;;
Du WEISST nicht mehr, was du gesagt hast?;advance;;;
S2. Was hat S3 getört?;advance;;;
[…] Denkst du nochmal drüber nach? S25, du kannst uns das erklären. Definitiv. Los. Schieß los. Warum kannst du uns das nicht erklären?;advance;;;
Stimmt nicht, sagst du? Warum nicht? S29, warum findst du nicht, dass das stimmt? ;advance;;;
Kannst du nochmal erklären, S3. Wo kommt dieser wundervolle Pullover her?;advance;;;
 Lauter, sag nochmal.;advance;;;
 wie soll sollen zusammen überlegen, was da überhaupt wichtig so ist und dann zusammen aufschreiben.;advance;;;
Jede Gruppe. Als Gruppe füllt ihr die Felder aus.;advance;;;
Meinst du, dass du es schaffst mit der Gruppe zusammenzuarbeiten?  Andere Frage, MÖCHTEST du mit der Gruppe zusammenarbeiten?;advance;;;
 was meint ihr wie lange braucht ihr noch um das fertig zu machen?;advance;;;
So, dann legt bitte alle die Stifte hin.;advance;;;
Jetzt schreib einfach deinen Namen hierhin (zu S2) klein oder Groß.  ;advance;;;
So in den Gruppen wurde ganz ganz intensiv gearbeitet. Und da würde ich sagen, ihr fangt jetzt mal an eure Ergebnisse [vorzustellen. Ihr] könnt auch gerne alle nach vorne kommen.;advance;;;
So alle drehen sich zur Tafel hin. Dass ihr die Kinder anschauen könnt.;advance;;;
[Wie wollt] ihr denn vorlesen? Von oben nach unten?;advance;;;
Mhm gut. , dann war ja die FRAGE, oder eure Aufgabe, jeder darf ausreden, die anderen hören gut zu und ihr bezieht euch aufeinander. ;advance;;;
Okay, wollt ihr noch etwas dazu sagen, wie gut das geklappt hat?;advance;;;
S, einen Moment bitte, S drehst du dich bitte mit dem Stuhl zur Tafel? ;advance;;;
Gut dankeschön, dann nehmen wir die Gruppe in der Mitte.;advance;;;
So ich hab gerade was richtiges gehört. Aufzeigen wäre schön. S7.;advance;;;
Aha. Was ist das WICHTIGE bei einer Diskussion? An welche Regel müsst ihr euch halten? ;advance;;;
Schreibt mal noch eure Namen oben drauf.;advance;;;
Ja da ja das ist doch nicht schlimm, Hauptsache ihr habt das da stehen.  ;advance;;;
Deshalb schaut dass ihr jetzt wirklich fertig werdet und eine kurze Antwort aufschreib, es reichen auch zwei drei Stichworte.;advance;;;
Wenn ihr das alle so seht dann schreibt das dahin.;advance;;;
So ihr hört jetzt auf zu schreiben und dann möchte ich gerne, dass die Gruppen kurz vorstellen was sie geschrieben haben.  ;advance;;;
Warte mal S7, geh mal die Reihe nach unten durch. Am Anfang fühlt er sich traurig und erschrocken und dann woran-;advance;;;
Kann man auch zu zweit arbeiten? DAS ist ne Gruppe.;advance;;;
Also dass ihr euch da absprecht und S11 schreibt es dann da auf das, also in Ordnung so, so ist das gemeint oder?;advance;;;
Ja genau in die Gruppen, in denen ihr da hier gesessen habt, in die ihr zusammengesessen habt, geht ihr jetzt auch wieder zurück.;advance;;;
Dann schreibst du das einfach drauf und dann kann, und dann kann das ja sein, dass, wenn S7 zum Beispiel da schreibt , das hab ich auch schonmal erlebt.;advance;;;
Mhm. Du hast uns netterweise deine Meinung gesagt. Möchte da noch jemand dazu oder Bleiben wir jetzt dabei?  ;advance;;;
Mhm. Okay. So ich denke an dieser Stelle machen wir nochmal Stop.;advance;;;
Erinnerst du dich, was du {noch} gesagt hast, weisst du nicht mehr?;advance;;;
Ja. Was haben die anderen dazu?  ;advance;;;
Hm. Geb doch mal das Wort weiter, an den S2 noch.;advance;;;
Das würde mich jetzt sehr interessieren, wie du das jetzt verstehst.  ;advance;;;
Woran hat du das erkannt, dass der Champion war?;advance;;;
Schau mal, jetzt melden sich Kinder, die noch nicht gesprochen haben.;advance;;;
Beginnen wir mal mit der Gruppe von S. S, was hat geklappt in eurer Gruppe und was könnt ihr vielleicht beim nächsten Mal verändern?  ;advance;;;
Kanst du dich erinnern, was ihr in die Mitte geschrieben habt?;advance;;;
Guck doch mal, was die anderen Kinder dazu geschrieben haben.;advance;;;
Ja, vielleicht stellt noch jemand sein Feld vor? […] S.;advance;;;
Ne, geboxt nicht, getanzt meinst du. ;advance;;;
Jede Gruppe von euch hat einen Zettel auf ihrem Tisch liegen.;advance;;;
S5, was, oder S6, was habt ihr auf eurem Zettel stehen?;advance;;;
Okay. S7, was habt ihr da stehen?;advance;;;
Was hat die Geschichte mit anderem sein zu tun?;advance;;;
Genau. Die Frage, habt ihr ALLE eure Frage verstanden?;advance;;;
S1, du hast es nicht verstanden, okay, dann lies nochmal vor.;advance;;;
Versucht jetzt einmal beim zweiten Gucken, auf eure Fragen zu achten, das heißt achtet mal darauf, S12, achtet mal darauf, was, welche Dinge so gehören zum Anderssein, und was VERÄNDERT sich im Verlauf der Geschichte?;advance;;;
Und nicht was? Nochmal?;advance;;;
Was denken die anderen, die die Frage nicht hatten?;advance;;;
S2 du bist überhaupt nicht dran, du musst dich melden.;advance;;;
Legst du das weg, schaut euch jetzt mal den nochmal an.;advance;;;
Also ich kann überhaupt nicht zeichnen, ich kann das bilderich darstellen. Könnt ihr bitte erst überlegen.;advance;;;
Wie hat die Arbeit geklappt in euer Gruppe, wollt ihr dazu noch etwas sagen?;advance;;;
Die Arbeit war eigentlich ganz passabel.;advance;;;
Hat jeder etwas dazu beigetragen? Oder habt ihr diskutiert oder nur gesabbelt?;advance;;;
Okay, du meinst jetzt die biologische Vielfalt.  ;advance;;;
Kurze, eine Minute Murmelphase zum Inhalt des Buches, was habt ihr gesehen, was ist euch aufgefallen?  ;advance;;;
Hast du ein Beispiel?;advance;;;
Was noch, was habt ihr noch genauer gesehen, wenn ihr jetzt auf die Bilder schaut.;advance;;;
Ihr könnt auch gerne mit Beispielen hinterlegen, also begründen, das was ihr da geschrieben habt, warum ihr, also was damit gemeint ist.;advance;;;
Anmerkungen, Fragen dazu? [...] Dann gehen wir noch eine Gruppe weiter.;advance;;;
Du kannst- ihr müsst nicht sagen erste Frage, zweite Frage könnt einfach aufschreiben, was ihr für Notizen gemacht habt.;advance;;;
Ja, das kannst du ja auch aufschreiben. ;advance;;;
So, mit Blick auf die Zeit, noch zwei Minuten würd ich das noch schnell [...] zum Abschluss bringen. ;advance;;;
Ja, so sollte man das vielleicht nicht aufschreiben.;advance;;;
Ist das in ordnung, wenn wir weitermachen?  ;advance;;;
"""Name"" ist das verständlich?";advance;;;
Sie dürfen auch gerne laut sprechen.Und diese Fragen gerne auch diskutieren innerhalb der Gruppe, ja?;advance;;;
So,ich würde sagen, noch zwei Minuten, dann fangen wir an mit der Vorstellung.;advance;;;
Möchten Sie gerne Filzstifte nutzen?  ;advance;;;
Vergessen Sie bitte nicht, dass {alles} aufzuschreiben.;advance;;;
Darf ich das so aufschreiben?;advance;;;
Kommt ihr klar?;advance;;;
Ja, genau, kommt gleich bitte nach vorne, dass, dann sieht und hört dich jeder besser.;advance;;;
Gibt es Rückfragen?;advance;;;
Kannst Du das auch noch mal wiedergeben oder soll‘s S11 machen?;advance;;;
Bist du schon fertig? Dann schreib gerad noch.;advance;;;
SO, darf ich jetzt noch mal, hier zum Stundenende noch mal um eure Aufmerksamkeit bitten?  ;advance;;;
Kurze Bemerkungen in den Gruppen, hat das funktioniert, hattet ihr das Gefühl, , ihr konntet da schon was davon umsetzen, ist das völlig ignoriert worden, , kurze Kommentare dazu, zu den einzelnen Gruppen?  ;advance;;;
Guckt es euch genau an und redet dann darüber.;advance;;;
Steht bitte auf und guckt euch alle Bilder genau an, weil das, hier vorne fängt das an und hier hört es auf.;advance;;;
Ja überlegt nochmal weiter, guckt euch das nochmal an, versucht mal zu diskutieren.  ;advance;;;
Was würdet ihr dann zusammenfassend nochmal sagen, also zu Vielfalt, also was was zu viel ist?  ;advance;;;
Kann einer von euch einmal erzählen, was ihr so rausgefunden habt.;advance;;;
Und möchte sonst noch einer was sagen?;advance;;;
Vielleicht redet ihr da nochmal drüber, über die einzelnen Punkte, okay?;advance;;;
Schafft ihr das gleichzeitig? ;advance;;;
Mach den Strich da weg, das ist ein Strich zu viel.  ;advance;;;
Dieser Begriff Vielfalt, könnt ihr damit noch was anfangen, was ist Vielfalt?;advance;;;
Habt ihr Schwierigkeiten?;advance;;;
Wo ist das Problem?;advance;;;
Seid ihr fertig?;advance;;;
Wenn man nicht spricht, kann man sich schle-, kann man sich schwer unterhalten, ne?;advance;;;
So, wie sehen die andern das?;advance;;;
Aber die jetzt quasi nicht, so meinst du das ? ;advance;;;
Ja, versuch doch einfach, es gibt ja kein richtig und falsch. ;advance;;;
SO, in 2-3 Minuten fangen wir an.;advance;;;
Also, wir haben aufgeschrieben, dass es um verschiedene Geschichten geht, also Fantasy auch, also das sind jetzt so Geschichten, die es eigentlich jetzt nicht so gäbe.  ;advance;;;
S12, kannst du lauter sprechen, bitte?;advance;;;
Du hast am Anfang gesagt, mit dem Häuserblock, dass habe ich noch nicht ganz verstanden.;advance;;;
Wozu würde das passen, was eure Gruppe jetzt gerade gesagt hat?;advance;;;
Was S23 gerade gesagt hat, nochmal wiederholen.;advance;;;
Es gab einige Schwierigkeiten, diese Aufgabe zu bewältigen.;advance;;;
Kann ich bei euch anfangen, ja?;advance;;;
Ja, erklärst du das noch etwas genauer, was bedeutet das, respektieren?;advance;;;
Magst du mal laut und deutlich lesen?;advance;;;
